Date;Heure;prod_eolienne_MWh;prod_solaire_MWh
2024-02-11;17:00;9996;481
2024-02-11;21:00;6554;2
2024-02-12;04:00;3093;2
2024-02-12;05:00;2555;2
2024-02-12;07:00;1890;7
2024-02-12;11:00;952;2265
2024-02-12;16:00;1830;1056
2024-02-12;19:00;2347;3
2024-02-13;03:00;2990;2
2024-02-13;04:00;3026;2
2024-02-13;09:00;4225;1802
2024-02-13;16:00;6235;2129
2024-02-13;17:00;6719;588
2024-02-13;22:00;8895;2
2024-02-14;01:00;8673;2
2024-02-14;07:00;7344;10
2024-02-14;08:00;7468;451
2024-02-14;14:00;6148;4395
2024-02-14;16:00;4627;2113
2024-02-15;05:00;6557;2
2024-02-15;22:00;9603;2
2024-02-16;00:00;9362;2
2024-02-16;10:00;6455;1238
2024-02-16;12:00;5875;2352
2024-02-16;13:00;5334;2400
2024-02-16;21:00;4398;2
2024-02-16;23:00;3418;2
2024-02-17;03:00;2375;2
2024-02-17;10:00;1440;3324
2024-02-17;15:00;1917;3425
2024-02-17;18:00;1722;33
2024-02-17;19:00;2054;6
2024-02-17;20:00;2703;4
2024-02-18;06:00;6148;3
2024-02-18;12:00;8837;3940
2024-02-18;14:00;8879;3127
2024-02-18;17:00;7762;273
2024-02-18;19:00;7863;3
2024-02-18;21:00;6626;2
2024-02-19;02:00;3667;2
2024-02-19;03:00;3300;2
2024-02-19;05:00;2524;2
2024-02-19;08:00;2994;378
2024-02-19;15:00;6397;2484
2024-02-19;17:00;5959;573
2024-02-19;18:00;5285;33
2024-02-19;21:00;4587;2
2024-02-20;02:00;2753;2
2024-02-20;03:00;2319;2
2024-02-20;06:00;1721;3
2024-02-20;11:00;2965;3800
2024-02-20;15:00;4154;2990
2024-02-21;03:00;3519;2
2024-02-21;10:00;8374;2591
2024-02-21;18:00;14483;17
2024-02-21;20:00;14873;2
2024-02-21;22:00;13937;2
2024-02-22;07:00;11888;4
2024-02-22;16:00;15615;515
2024-02-22;18:00;15402;28
2024-02-22;20:00;15181;2
2024-02-22;22:00;13911;2
2024-02-23;07:00;12081;22
2024-02-23;12:00;10763;3340
2024-02-23;14:00;10441;3030
2024-02-23;17:00;8081;479
2024-02-23;18:00;7100;25
2024-02-24;00:00;5771;2
2024-02-24;01:00;5761;2
2024-02-24;03:00;6218;2
2024-02-24;04:00;6553;2
2024-02-24;11:00;8439;3737
2024-02-24;12:00;9183;4226
2024-02-24;14:00;10093;3681
2024-02-24;16:00;9617;1812
2024-02-24;22:00;8975;2
2024-02-24;23:00;8948;2
2024-02-25;03:00;6689;2
2024-02-25;04:00;6296;2
2024-02-25;09:00;7850;1134
2024-02-25;16:00;10522;574
2024-02-25;18:00;11742;18
2024-02-26;05:00;7288;2
2024-02-26;14:00;9625;2713
2024-02-27;05:00;10123;2
2024-02-27;06:00;10087;2
2024-02-27;10:00;8520;1472
2024-02-27;16:00;6346;942
2024-02-27;18:00;5568;42
2024-02-27;22:00;4416;2
2024-02-28;10:00;1580;2729
2024-02-28;16:00;2624;2304
2024-02-29;01:00;6211;2
2024-02-29;03:00;6104;2
2024-02-29;08:00;6456;737
2024-02-29;15:00;7075;3060
2024-02-29;19:00;7536;6
2024-03-02;00:00;9762;2
2024-03-02;06:00;9286;1
2024-03-02;08:00;9742;626
2024-03-02;10:00;8755;2599
2024-03-02;12:00;8421;2708
2024-03-02;13:00;7898;2225
2024-03-02;15:00;5612;1277
2024-03-02;22:00;2946;1
2024-03-03;07:00;2520;17
2024-03-03;16:00;5618;1690
2024-03-03;18:00;4230;118
2024-03-03;19:00;3997;1
2024-03-03;22:00;4372;1
2024-03-04;06:00;2829;2
2024-03-04;17:00;3098;548
2024-03-04;20:00;3897;1
2024-03-04;22:00;4506;1
2024-03-05;04:00;4649;1
2024-03-05;11:00;4482;4166
2024-03-05;14:00;4755;4187
2024-03-05;15:00;4224;3461
2024-03-05;17:00;2937;996
2024-03-06;02:00;2001;1
2024-03-06;03:00;1681;1
2024-03-06;04:00;1338;1
2024-03-07;11:00;4272;5943
2024-03-07;20:00;10618;3
2024-03-08;00:00;9370;1
2024-03-08;09:00;6825;1303
2024-03-08;10:00;6223;1968
2024-03-08;19:00;8936;1
2024-03-09;00:00;9549;1
2024-03-09;06:00;10326;1
2024-03-09;09:00;10183;1138
2024-03-09;12:00;10253;2477
2024-03-09;15:00;7697;1721
2024-03-09;19:00;6337;0
2024-03-10;00:00;4220;0
2024-03-10;02:00;3053;0
2024-03-10;08:00;1741;971
2024-03-10;09:00;1155;2086
2024-03-10;12:00;603;3940
2024-03-10;15:00;450;2878
2024-03-10;17:00;567;919
2024-03-11;05:00;3240;0
2024-03-11;07:00;3853;112
2024-03-11;08:00;3786;761
2024-03-11;12:00;4479;3865
2024-03-11;20:00;5244;1
2024-03-12;00:00;4608;1
2024-03-12;02:00;4250;1
2024-03-12;03:00;4019;1
2024-03-12;06:00;3674;2
2024-03-12;10:00;4182;3496
2024-03-12;11:00;5028;4079
2024-03-12;17:00;7866;1074
2024-03-13;03:00;4742;1
2024-03-13;04:00;4087;1
2024-03-13;05:00;3493;1
2024-03-13;09:00;2455;3117
2024-03-13;12:00;2813;5992
2024-03-13;14:00;2626;5813
2024-03-13;23:00;3964;2
2024-03-14;01:00;3923;1
2024-03-14;04:00;4170;1
2024-03-14;09:00;3432;3607
2024-03-14;12:00;2916;5800
2024-03-14;17:00;4694;1538
2024-03-14;18:00;4862;283
2024-03-14;23:00;9041;1
2024-03-15;04:00;8315;1
2024-03-15;16:00;10108;2726
2024-03-15;18:00;9514;222
2024-03-15;20:00;9275;1
2024-03-15;21:00;9664;1
2024-03-15;22:00;9772;1
2024-03-15;23:00;9674;1
2024-03-16;00:00;9017;1
2024-03-16;09:00;2787;2718
2024-03-16;20:00;894;3
2024-03-17;04:00;3183;1
2024-03-17;06:00;3341;3
2024-03-17;08:00;3386;1079
2024-03-17;15:00;2523;2929
2024-03-17;20:00;1408;2
2024-03-17;21:00;1365;1
2024-03-18;00:00;1316;1
2024-03-18;05:00;1786;1
2024-03-18;10:00;1649;3217
2024-03-18;14:00;1700;5200
2024-03-18;17:00;1143;1754
2024-03-18;19:00;814;4
2024-03-19;01:00;960;1
2024-03-19;02:00;1039;1
2024-03-19;04:00;971;1
2024-03-19;12:00;496;6701
2024-03-20;05:00;2261;1
2024-03-20;06:00;2365;11
2024-03-20;10:00;1039;4492
2024-03-20;11:00;896;5252
2024-03-20;16:00;929;2786
2024-03-20;17:00;949;1451
2024-03-21;04:00;2103;1
2024-03-21;06:00;1739;8
2024-03-21;07:00;1593;371
2024-03-21;13:00;259;6588
2024-03-21;15:00;514;5066
2024-03-21;16:00;635;3596
2024-03-22;04:00;1748;1
2024-03-22;05:00;1828;2
2024-03-22;14:00;1728;6515
2024-03-22;15:00;2380;5609
2024-03-22;20:00;5373;2
2024-03-23;01:00;7023;1
2024-03-23;02:00;7404;1
2024-03-23;06:00;8930;10
2024-03-23;10:00;10542;4807
2024-03-23;14:00;7984;3371
2024-03-23;16:00;11915;3345
2024-03-23;17:00;11607;1808
2024-03-24;17:00;6497;1778
2024-03-24;19:00;3966;12
2024-03-25;03:00;1289;1
2024-03-25;06:00;3325;28
2024-03-25;07:00;4173;612
2024-03-25;08:00;3958;1910
2024-03-26;14:00;4016;1901
2024-03-26;16:00;4278;1070
2024-03-26;19:00;6854;9
2024-03-27;04:00;4834;1
2024-03-27;05:00;4630;1
2024-03-27;10:00;7002;3756
2024-03-27;13:00;9323;4727
2024-03-27;16:00;8934;3139
2024-03-27;21:00;12468;0
2024-03-27;22:00;12008;0
2024-03-28;02:00;13122;0
2024-03-28;05:00;12886;0
2024-03-28;08:00;13439;1741
2024-03-28;15:00;15306;4653
2024-03-28;18:00;13743;302
2024-03-29;06:00;8887;8
2024-03-29;08:00;8434;794
2024-03-29;13:00;7826;2664
2024-03-29;15:00;6761;2094
2024-03-29;20:00;4842;1
2024-03-30;01:00;3172;1
2024-03-30;07:00;2805;261
2024-03-30;15:00;2907;3815
2024-03-30;17:00;3355;1622
2024-03-30;18:00;3294;435
2024-03-30;23:00;6499;1
2024-03-31;13:00;8034;3535
2024-03-31;14:00;9010;3284
2024-03-31;18:00;6231;709
2024-04-01;06:00;5321;1
2024-04-01;07:00;5701;34
2024-04-01;11:00;7087;4961
2024-04-01;14:00;5546;2777
2024-04-01;16:00;4775;2296
2024-04-02;09:00;11504;2699
2024-04-02;12:00;12537;6094
2024-04-02;16:00;10907;4050
2024-04-02;18:00;8639;1162
2024-04-02;19:00;7434;251
2024-04-03;02:00;8225;1
2024-04-03;09:00;9476;1523
2024-04-03;19:00;10733;477
2024-04-04;02:00;11944;1
2024-04-04;04:00;12279;1
2024-04-04;15:00;12048;5475
2024-04-04;16:00;11318;4586
2024-04-04;19:00;6389;469
2024-04-05;08:00;12517;808
2024-04-05;12:00;10069;5454
2024-04-05;13:00;9651;5439
2024-04-05;15:00;5819;2900
2024-04-05;20:00;5239;23
2024-04-06;04:00;11883;1
2024-04-06;05:00;12457;1
2024-04-06;07:00;13277;111
2024-04-06;09:00;12426;2017
2024-04-06;14:00;5579;2496
2024-04-07;00:00;9303;1
2024-04-07;06:00;5834;2
2024-04-07;15:00;2995;1604
2024-04-07;16:00;2837;1258
2024-04-08;01:00;3030;1
2024-04-08;12:00;5463;5018
2024-04-09;02:00;6787;1
2024-04-09;06:00;11561;2
2024-04-09;07:00;12063;49
2024-04-09;08:00;12113;551
2024-04-09;11:00;7793;1826
2024-04-09;16:00;7627;2371
2024-04-09;18:00;10700;1949
2024-04-09;23:00;6650;2
2024-04-10;00:00;6307;2
2024-04-10;01:00;6155;2
2024-04-10;03:00;5237;1
2024-04-10;09:00;1621;2825
2024-04-10;11:00;1759;4990
2024-04-10;13:00;2390;5472
2024-04-10;14:00;2577;5502
2024-04-10;22:00;3715;4
2024-04-10;23:00;4171;3
2024-04-11;00:00;4552;2
2024-04-11;06:00;2766;3
2024-04-11;09:00;2156;2608
2024-04-11;11:00;1604;5378
2024-04-11;12:00;1494;6042
2024-04-11;14:00;1319;6234
2024-04-11;15:00;1189;5918
2024-04-11;16:00;1015;5295
2024-04-11;21:00;957;5
2024-04-12;03:00;1200;1
2024-04-12;08:00;1448;1309
2024-04-12;21:00;796;5
2024-04-13;05:00;1883;1
2024-04-13;09:00;1135;3053
2024-04-13;10:00;439;2579
2024-04-13;13:00;1294;3597
2024-04-14;04:00;1626;1
2024-04-14;06:00;1051;4
2024-04-14;13:00;231;3595
2024-04-14;17:00;628;3960
2024-04-15;05:00;3352;1
2024-04-15;07:00;4385;151
2024-04-15;12:00;8184;2034
2024-04-15;13:00;8508;2117
2024-04-15;18:00;13805;1558
2024-04-15;22:00;11427;2
2024-04-16;00:00;11553;1
2024-04-16;05:00;11577;1
2024-04-16;07:00;11519;170
2024-04-16;10:00;6501;1763
2024-04-16;11:00;9837;3554
2024-04-16;13:00;9394;4279
2024-04-16;14:00;6129;2700
2024-04-16;17:00;6213;1641
2024-04-17;02:00;4434;1
2024-04-17;05:00;4029;1
2024-04-17;17:00;6848;3238
2024-04-17;20:00;4028;69
2024-04-18;03:00;2557;1
2024-04-18;05:00;2371;1
2024-04-18;07:00;2626;204
2024-04-18;08:00;2406;1139
2024-04-18;09:00;2464;2631
2024-04-18;13:00;2437;5275
2024-04-18;19:00;2246;960
2024-04-18;20:00;2324;87
2024-04-18;22:00;2660;1
2024-04-19;13:00;9890;6447
2024-04-19;19:00;7270;842
2024-04-19;20:00;7198;83
2024-04-19;21:00;7129;5
2024-04-20;02:00;5874;1
2024-04-20;03:00;6061;1
2024-04-20;08:00;4705;1584
2024-04-20;09:00;5088;3546
2024-04-20;17:00;4145;2392
2024-04-20;21:00;5746;5
2024-04-20;23:00;5226;3
2024-04-21;03:00;4762;1
2024-04-21;09:00;5570;3490
2024-04-22;00:00;6298;3
2024-04-22;08:00;3613;1573
2024-04-22;09:00;2934;3552
2024-04-22;10:00;3573;5247
2024-04-22;18:00;6097;1953
2024-04-22;20:00;4919;108
2024-04-22;22:00;3837;2
2024-04-23;03:00;3961;0
2024-04-23;12:00;3300;5560
2024-04-23;14:00;3102;5309
2024-04-23;20:00;3212;117
2024-04-24;03:00;3511;0
2024-04-24;08:00;3457;1053
2024-04-24;13:00;5686;4289
2024-04-24;17:00;5758;2331
2024-04-25;01:00;1093;2
2024-04-25;06:00;734;11
2024-04-25;07:00;762;324
2024-04-25;08:00;733;1295
2024-04-25;14:00;2053;4669
2024-04-26;06:00;1974;9
2024-04-26;13:00;1520;4373
2024-04-26;15:00;1592;4331
2024-04-26;17:00;1763;2475
2024-04-27;04:00;4050;0
2024-04-27;11:00;4887;3339
2024-04-27;13:00;6139;3529
2024-04-27;19:00;5693;490
2024-04-28;09:00;5822;964
2024-04-28;19:00;2564;743
2024-04-29;16:00;2689;2744
2024-04-29;17:00;2572;2026
2024-04-29;19:00;2050;545
2024-04-30;01:00;2881;1
2024-04-30;08:00;2727;1013
2024-04-30;11:00;2562;3687
2024-04-30;12:00;2656;4066
2024-05-01;00:00;2282;1
2024-05-01;03:00;1663;1
2024-05-01;07:00;1506;188
2024-05-01;14:00;803;1108
2024-05-01;16:00;1395;812
2024-05-01;20:00;3803;66
2024-05-02;03:00;4041;1
2024-05-02;06:00;4666;8
2024-05-02;09:00;5358;1430
2024-05-02;12:00;6944;3287
2024-05-02;15:00;9376;3622
2024-05-03;08:00;5767;1724
2024-05-03;10:00;5731;4653
2024-05-03;16:00;3406;4293
2024-05-03;17:00;2833;3097
2024-05-03;19:00;1900;843
2024-05-03;21:00;1923;5
2024-05-04;03:00;1211;1
2024-05-04;07:00;1750;337
2024-05-04;20:00;2476;143
2024-05-04;21:00;2643;3
2024-05-05;01:00;2769;1
2024-05-05;13:00;1161;2538
2024-05-05;21:00;1417;2
2024-05-06;02:00;2434;1
2024-05-06;08:00;3254;802
2024-05-06;09:00;3592;1633
2024-05-06;13:00;5123;4018
2024-05-06;14:00;5115;4112
2024-05-07;19:00;4737;923
2024-05-08;11:00;2360;5882
2024-05-08;14:00;2587;5970
2024-05-08;21:00;2976;8
2024-05-09;01:00;3605;2
2024-05-09;12:00;995;3881
2024-05-09;23:00;4152;3
2024-05-10;00:00;4291;2
2024-05-10;01:00;4539;2
2024-05-10;04:00;4121;1
2024-05-10;08:00;2292;2362
2024-05-10;10:00;1116;6058
2024-05-10;15:00;1966;7264
2024-05-10;18:00;2329;3307
2024-05-10;21:00;3901;9
2024-05-10;23:00;5208;3
2024-05-11;00:00;5249;2
2024-05-11;01:00;5010;2
2024-05-11;05:00;3698;1
2024-05-11;21:00;2637;11
2024-05-12;09:00;993;1362
2024-05-12;10:00;772;1743
2024-05-12;12:00;757;2273
2024-05-12;16:00;1280;1641
2024-05-13;01:00;2264;1
2024-05-13;06:00;1247;40
2024-05-13;12:00;1789;3173
2024-05-13;22:00;4316;1
2024-05-14;02:00;6145;1
2024-05-14;05:00;5965;1
2024-05-14;07:00;4766;287
2024-05-14;21:00;2514;9
2024-05-14;22:00;2474;2
2024-05-15;04:00;1671;1
2024-05-15;08:00;1161;1173
2024-05-15;09:00;1199;2137
2024-05-15;18:00;1253;2176
2024-05-16;01:00;1726;1
2024-05-16;02:00;1666;1
2024-05-16;14:00;1649;4717
2024-05-16;23:00;926;1
2024-05-17;05:00;1908;1
2024-05-17;13:00;1281;5395
2024-05-18;01:00;591;1
2024-05-18;04:00;499;1
2024-05-18;05:00;537;1
2024-05-18;08:00;433;1515
2024-05-18;09:00;352;2895
2024-05-18;15:00;529;2449
2024-05-18;18:00;1344;2211
2024-05-18;23:00;403;1
2024-05-19;04:00;376;1
2024-05-19;08:00;213;1755
2024-05-19;09:00;143;2763
2024-05-19;13:00;131;2625
2024-05-19;17:00;701;2992
2024-05-19;18:00;941;2020
2024-05-20;01:00;1024;1
2024-05-20;11:00;1034;3956
2024-05-20;21:00;2457;9
2024-05-20;23:00;2410;1
2024-05-21;00:00;2253;1
2024-05-21;11:00;1054;4446
2024-05-21;13:00;1474;4917
2024-05-21;15:00;2133;4618
2024-05-21;17:00;2446;3405
2024-05-21;19:00;2741;1120
2024-05-21;23:00;3348;1
2024-05-22;06:00;3335;68
2024-05-22;12:00;4960;5522
2024-05-22;18:00;3764;2335
2024-05-23;02:00;2271;1
2024-05-23;05:00;2263;2
2024-05-23;14:00;1185;5297
2024-05-23;18:00;1267;2380
2024-05-23;22:00;653;1
2024-05-24;04:00;623;1
2024-05-24;08:00;221;1887
2024-05-24;09:00;119;3180
2024-05-24;10:00;62;3923
2024-05-24;18:00;1137;2602
2024-05-24;21:00;595;27
2024-05-25;03:00;480;1
2024-05-25;04:00;543;1
2024-05-25;09:00;162;3772
2024-05-25;10:00;122;5148
2024-05-25;23:00;2098;1
2024-05-26;05:00;4056;2
2024-05-26;10:00;2795;3339
2024-05-26;12:00;2530;2509
2024-05-26;18:00;4624;1983
2024-05-26;21:00;2656;28
2024-05-27;09:00;837;2142
2024-05-27;11:00;1997;2863
2024-05-27;13:00;3228;3335
2024-05-27;15:00;3751;3447
2024-05-27;21:00;2013;26
2024-05-27;22:00;1896;1
2024-05-28;03:00;2913;1
2024-05-28;04:00;2945;1
2024-05-28;06:00;2849;120
2024-05-28;12:00;5226;5810
2024-05-28;16:00;5885;5069
2024-05-29;04:00;5429;1
2024-05-29;05:00;5096;1
2024-05-29;15:00;5756;3819
2024-05-29;22:00;5515;1
2024-05-30;00:00;5159;1
2024-05-30;09:00;2389;2141
2024-05-30;20:00;4636;386
2024-05-31;06:00;4354;90
2024-05-31;09:00;4011;3181
2024-05-31;12:00;5026;4999
2024-05-31;14:00;3309;2747
2024-05-31;19:00;5735;1371
2024-05-31;20:00;5589;387
2024-06-01;07:00;4705;667
2024-06-01;10:00;2986;2275
2024-06-01;13:00;3401;2576
2024-06-01;14:00;3571;2527
2024-06-01;17:00;3883;1635
2024-06-02;14:00;2593;2006
2024-06-02;15:00;2602;2017
2024-06-02;22:00;3144;3
2024-06-03;00:00;2733;2
2024-06-03;11:00;805;5394
2024-06-03;18:00;1591;3043
2024-06-04;08:00;311;2258
