datetime,hour,day,month,weekday,prod_solaire_MWh,prod_eolienne_MWh
2024-02-11 17:00:00,17,11,2,Sunday,481.0,9996.0
2024-02-11 21:00:00,21,11,2,Sunday,2.0,6554.0
2024-02-12 04:00:00,4,12,2,Monday,2.0,3093.0
2024-02-12 05:00:00,5,12,2,Monday,2.0,2555.0
2024-02-12 07:00:00,7,12,2,Monday,7.0,1890.0
2024-02-12 11:00:00,11,12,2,Monday,2265.0,952.0
2024-02-12 16:00:00,16,12,2,Monday,1056.0,1830.0
2024-02-12 19:00:00,19,12,2,Monday,3.0,2347.0
2024-02-13 03:00:00,3,13,2,Tuesday,2.0,2990.0
2024-02-13 04:00:00,4,13,2,Tuesday,2.0,3026.0
2024-02-13 09:00:00,9,13,2,Tuesday,1802.0,4225.0
2024-02-13 16:00:00,16,13,2,Tuesday,2129.0,6235.0
2024-02-13 17:00:00,17,13,2,Tuesday,588.0,6719.0
2024-02-13 22:00:00,22,13,2,Tuesday,2.0,8895.0
2024-02-14 01:00:00,1,14,2,Wednesday,2.0,8673.0
2024-02-14 07:00:00,7,14,2,Wednesday,10.0,7344.0
2024-02-14 08:00:00,8,14,2,Wednesday,451.0,7468.0
2024-02-14 14:00:00,14,14,2,Wednesday,4395.0,6148.0
2024-02-14 16:00:00,16,14,2,Wednesday,2113.0,4627.0
2024-02-15 05:00:00,5,15,2,Thursday,2.0,6557.0
2024-02-15 22:00:00,22,15,2,Thursday,2.0,9603.0
2024-02-16 00:00:00,0,16,2,Friday,2.0,9362.0
2024-02-16 10:00:00,10,16,2,Friday,1238.0,6455.0
2024-02-16 12:00:00,12,16,2,Friday,2352.0,5875.0
2024-02-16 13:00:00,13,16,2,Friday,2400.0,5334.0
2024-02-16 21:00:00,21,16,2,Friday,2.0,4398.0
2024-02-16 23:00:00,23,16,2,Friday,2.0,3418.0
2024-02-17 03:00:00,3,17,2,Saturday,2.0,2375.0
2024-02-17 10:00:00,10,17,2,Saturday,3324.0,1440.0
2024-02-17 15:00:00,15,17,2,Saturday,3425.0,1917.0
2024-02-17 18:00:00,18,17,2,Saturday,33.0,1722.0
2024-02-17 19:00:00,19,17,2,Saturday,6.0,2054.0
2024-02-17 20:00:00,20,17,2,Saturday,4.0,2703.0
2024-02-18 06:00:00,6,18,2,Sunday,3.0,6148.0
2024-02-18 12:00:00,12,18,2,Sunday,3940.0,8837.0
